participant id,chart type,log error,angle
1,pie,4.18498,1.96471
1,pie,4.05436,1.61517
1,pie,0,0
1,pie,4.62263,2.34775
1,pie,2.27623,1.26201
2,pie,0,0.875652
2,pie,0.59826,0
2,pie,3.89053,1.6896
2,pie,3.19875,2.11809
2,pie,1.66379,1.08078
3,pie,1.71497,1.93925
3,pie,4.67619,0.503199
3,pie,0.191498,1.3807
3,pie,1.08746,1.29204
3,pie,3.68395,1.10171
4,pie,0,1.23546
4,pie,0.537575,0.683278
4,pie,1.44233,1.7248
4,pie,3.23622,2.30383
4,pie,0.492675,1.58936
5,pie,3.02237,2.01292
5,pie,3.33985,0
5,pie,1.76141,0
5,pie,2.173,0
5,pie,3.75043,0.996527
6,pie,3.62611,0.416565
6,pie,5.0327,1.87274
6,pie,0,1.7952
6,pie,4.19652,0
6,pie,4.47041,0.538964
7,pie,4.90213,0.633598
7,pie,1.48113,1.19395
7,pie,1.90619,0.420046
7,pie,1.79008,1.13891
7,pie,3.60394,2.19764
8,pie,2.64065,2.17495
8,pie,4.74371,0
8,pie,3.67349,1.00646
8,pie,0.526858,1.66411
8,pie,2.84475,1.69267
9,pie,3.90592,2.44437
9,pie,1.14595,1.65787
9,pie,2.59761,1.80922
9,pie,3.06063,1.10432
9,pie,2.9583,0.607491
10,pie,1.41154,0.387199
10,pie,0.8413,0
10,pie,3.11162,0.965129
10,pie,3.37687,2.0944
10,pie,2.35755,1.35896
1,rose,3.97588,0.897598
1,rose,2.61139,0.897598
1,rose,3.31935,0
1,rose,1.2059,4.76837E-07
1,rose,3.08037,1.7952
2,rose,4.53138,0
2,rose,1.79008,1.7952
2,rose,3.47039,1.7952
2,rose,3.78052,1.7952
2,rose,1.79007,0
3,rose,4.6288,1.7952
3,rose,3.63062,1.7952
3,rose,4.18667,0.897598
3,rose,1.85335,1.7952
3,rose,3.95975,0
4,rose,2.06791,0
4,rose,2.98236,0.897598
4,rose,2.09185,1.7952
4,rose,3.86487,0.897598
4,rose,0.0483698,0.897598
5,rose,3.11548,0
5,rose,1.69084,0
5,rose,4.22969,0.897598
5,rose,4.47303,0
5,rose,2.52758,0
6,rose,4.79068,0
6,rose,5.46191,0.897598
6,rose,4.97973,0
6,rose,4.42229,1.7952
6,rose,5.78284,1.7952
7,rose,1.80875,0.897598
7,rose,2.16992,4.76837E-07
7,rose,4.76155,1.7952
7,rose,4.46138,0.897598
7,rose,4.61285,1.7952
8,rose,3.36923,0.897598
8,rose,3.19368,1.7952
8,rose,0.90241,0
8,rose,2.73914,0
8,rose,1.45256,1.7952
9,rose,3.58854,1.7952
9,rose,1.02131,0
9,rose,1.4563,0.897598
9,rose,0.895066,1.7952
9,rose,2.19946,1.7952
10,rose,3.28398,0.897598
10,rose,2.04439,0.897598
10,rose,3.43492,0.897598
10,rose,3.33985,1.7952
10,rose,2.48573,0.897598